,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
9230,2043285,인천과학대제전,15,2,37.5481230092,126.664152993,인천광역시 서구 봉수대로 806 (연희동),
9231,1129018,인천국제디자인페어,15,2,37.3900244069,126.6466173186,인천광역시 연수구 센트럴로 123 (송도동),
9232,527212,인천대공원 범시민 벚꽃축제,15,2,37.4570186565,126.7615022096,인천광역시 남동구 장수동,산79 (어울큰마당)
9233,3020186,인천수학축전,15,2,37.5481230092,126.664152993,인천광역시 서구 봉수대로 806 (연희동),
9234,2820560,인천아트북페어,15,2,37.4726060191,126.6205007453,인천광역시 중구 제물량로218번길 3 (해안동1가),
9235,3113152,인천어린이과학관 과학축전,15,2,37.5516211679,126.739954308,인천광역시 계양구 방축로 21 (방축동),
9237,3329788,인천여성영화제 20주년 회고전,15,2,37.4613445,126.6806039084,인천광역시 미추홀구 미추홀대로 716 (주안동),메인프라자 7층
9238,561027,인천펜타포트 락 페스티벌,15,2,37.4078332011,126.6324847807,인천광역시 연수구 센트럴로 350,(송도동)
9239,2597631,정서진 아라뱃길 카약축제,15,2,37.5584902454,126.6074773243,인천광역시 서구 정서진1로 41,아라인천여객터미널 일원
9240,3075632,정서진 해넘이 행사,15,2,37.5582207427,126.6023861308,인천광역시 서구 정서진남로 95 (오류동),정서진 광장
9241,3097834,제12회 디아스포라영화제,15,2,37.4726060191,126.6205007453,인천광역시 중구 제물량로218번길 3 (해안동1가),
9242,3011126,제2회 세계를 품은 인천교육 한마당,15,2,37.3900244069,126.6466173186,인천광역시 연수구 센트럴로 123 (송도동),
9243,3315407,제물포 웨이브 마켓,15,2,37.4761360618,126.6146650689,인천광역시 중구 월미로 33 (북성동1가),
9244,2816941,"지성(知性)애(愛) 빠지다, 부평향교",15,2,37.5395472304,126.7207175131,인천광역시 계양구 향교로 19 부평향교(지정문화재),
9245,2615209,청라 뮤직&와인 페스티벌,15,2,37.5245724365,126.6339480738,인천광역시 서구 청라대로 26 (청라동),
9246,1621746,화도진 축제,15,2,37.4765252097,126.6319301493,인천광역시 동구 화도진로 53 (송현동),
9247,3304387,1883 상상플랫폼 야시장,15,2,37.4761360618,126.6146650689,인천광역시 중구 월미로 33 (북성동1가),
9248,3343389,2024 인천낚시박람회,15,2,37.3900244069,126.6466173186,인천광역시 연수구 센트럴로 123 (송도동),송도컨벤시아 전시장
9250,3015936,BBAF2023(부평부천아트페어),15,2,37.4897693666,126.7027927603,인천광역시 부평구 화랑로 65 (산곡동),
9251,2999155,DMZ평화i랜드 뮤직페스티벌 in 강화,15,2,37.7834223603,126.2914972354,인천광역시 강화군 교동동로471번길 6-60,강화 교동 화개정원
9288,1074812,강화 자전거 관광코스,28,2,37.7464579051,126.4880330099,인천광역시 강화군 강화읍,(강화읍)
9295,2734000,강화도산들애캠핑수영장,28,2,37.7409441693,126.4602273801,인천광역시 강화군 강화읍 고비고개로 171,
9298,2792619,강화무지개글램핑,28,2,37.7949405919,126.45716504,인천광역시 강화군 송해면 양오리 640-1번지,
9301,2768226,검단수로,28,2,37.5904168234,126.592627792,인천광역시 서구 오류동 1460,(오류동)
9302,2734025,검디관광농원캠핑장,28,2,37.5870296992,126.5127601891,인천광역시 강화군 길상면 동검길 159-47,
9304,2465040,계산국민체육센터,28,2,37.5461382805,126.7291748899,인천광역시 계양구 주부토로 580,(계산동)
9305,2463896,계양경기장,28,2,37.5325151261,126.743898928,인천광역시 계양구 봉오대로 855,
9308,2661787,계양산 둘레길,28,2,37.5543315789,126.7182812107,인천광역시 계양구 다남동 산70-4,
9310,2768204,국제롤러장,28,2,37.5336606539,126.655743053,인천광역시 서구 청라에메랄드로 99,(청라동)
9312,2847197,글램조이,28,2,37.6888351221,126.3898602814,인천광역시 강화군 해안서로 689,
9315,2729260,낭만에코파크,28,2,37.7018981624,126.4283147267,인천광역시 강화군 양도면 중앙로814번길 19-16,
9316,2792628,노을빛바다애글램핑,28,2,37.6214316354,126.3765439251,인천광역시 강화군 화도면 장화리 474,
9317,2792614,노을진 캠핑장,28,2,37.5698259156,126.657144694,인천광역시 서구 정서진로 500,(오류동)
9322,2757627,동검도노을캠핑장,28,2,37.5874657045,126.5096271305,인천광역시 강화군 길상면 동검길 159-13,
9328,2758006,렛츠고 강화캠핑,28,2,37.6205378261,126.4068661726,인천광역시 강화군 화도면 동녘말길 238-7,
9331,2768146,만정민트바다낚시터,28,2,37.5150026654,126.5522724652,인천광역시 중구 영종순환로 279-20,(중산동)
9337,2734041,문라이트캠프장,28,2,37.6016470811,126.4922866562,인천광역시 강화군 길상면 해안남로 656,
9341,2908217,바다다 캠핑장,28,2,37.6363855057,126.379829321,인천광역시 강화군 화도면 내리 2146-2,
9342,2747245,바다로글램핑,28,2,37.6218232626,126.3768883266,인천광역시 강화군 화도면 해안남로 2421-228,
9346,2734307,블랙트리캠핑,28,2,37.2642799642,126.4477888887,인천광역시 옹진군 영흥면 영흥로757번길 234-13,
9351,2744549,서해캠핑장,28,2,37.4576505539,126.3679519987,인천광역시 중구 용유서로423번길 47,(을왕동)
9354,2768107,선재바다낚시공원,28,2,37.2542685314,126.5220129578,인천광역시 옹진군 영흥면 선재로226번길 164,
9355,2734732,선재오토캠핑장,28,2,37.2492303024,126.5263349241,인천광역시 옹진군 영흥면 선재로186번길 86-22,
9361,2734806,송도스포츠캠핑장,28,2,37.3539392294,126.6194569017,인천광역시 연수구 인천신항대로892번길 50,(송도동)
9362,2465135,송도종합스포츠센터,28,2,37.3514033971,126.618559831,인천광역시 연수구 인천신항대로892번길 40,(송도동)
9368,1615829,신선낚시터,28,2,37.7100132026,126.3895652753,인천광역시 강화군 내가면 고천리 1820,
9371,2728912,씨사이드힐캠핑장,28,2,37.634730063,126.3752297878,인천광역시 강화군 화도면 해안남로 2680-12,
9376,2765198,양오낚시터,28,2,37.8001841894,126.443857781,인천광역시 강화군 송해면 전망대로423번길 161,
9379,2768181,연경산배드민턴장,28,2,37.4373749026,126.6715470673,인천광역시 미추홀구 매소홀로446번길 54,(학익동)
9383,2734140,영종도힐링캠프,28,2,37.439666735,126.3794597739,인천광역시 중구 선녀바위로 70,(을왕동)
9384,2606233,영종씨사이드 레일바이크,28,2,37.4885061796,126.5768542882,인천광역시 중구 구읍로 75,
9391,2758194,오류내낚시터,28,2,37.7599363381,126.4568132734,인천광역시 강화군 송해면 하도리 산157-3,
9394,2731145,왕산가족오토캠핑장,28,2,37.4582032371,126.3662160311,인천광역시 중구 용유서로423번길 60,
9395,2769484,왕산요트경기장,28,2,37.4577559204,126.3578140337,인천광역시 중구 왕산마리나길 143,(을왕동)
9397,2743847,원스캠핑장,28,2,37.6769411696,126.3387291872,인천광역시 강화군 삼산남로604번길 37,
9400,2708208,인천 성창포길 (인천둘레길 12코스),28,2,37.4765557939,126.6337744247,인천광역시 동구 화도진로44번길 1,(송현동)
9405,3015052,인천대공원 너나들이캠핑장,28,2,37.4594903994,126.7506531294,인천광역시 남동구 무네미로 238 인천대공원,
9412,2734234,인천시송도국제캠핑장,28,2,37.3616499106,126.645895947,인천광역시 연수구 지식기반로 60,(송도동)
9421,2768196,청라호수공원피노키오놀이터,28,2,37.532890947,126.6358337811,인천광역시 서구 청라동 106-2,
9422,2770366,케이엠스포츠,28,2,37.6131428966,126.6458639583,인천광역시 서구 봉수대로1568번길 26-87,(금곡동)
9423,2792612,코코로망스,28,2,37.2711070507,126.453554844,인천광역시 옹진군 영흥면 영흥로685번길 76,
9424,3061210,클라이밍줌,28,2,37.4156691449,126.674600169,인천광역시 연수구 청능대로 75 (청학동),
9425,2908110,태그하우스풀빌라,28,2,37.5915040724,126.5067439485,인천광역시 강화군 동검길154번길 24-19,
9430,2792623,하늘바다글램핑,28,2,37.5843522812,126.5155183446,인천광역시 강화군 길상면 동검리 125-95,
9432,2729986,하늘정원캠핑장,28,2,37.5962759019,126.5160318552,인천광역시 강화군 길상면 동검길 21-1,
9436,2768065,항포낚시터,28,2,37.7060813071,126.2868053649,인천광역시 강화군 삼산면 삼산서로310번길 21,
9442,2768164,황산바다좌대낚시터,28,2,37.6197930027,126.5384458171,인천광역시 강화군 길상면 해안남로117번길 29-18,
9444,2765201,황산초지바다낚시터,28,2,37.6202567809,126.5352238769,인천광역시 강화군 길상면 초지리 1325-60,
9449,1028726,[강화 나들길 제5코스] 고비고개길,28,2,37.7458245442,126.4822613345,인천광역시 강화군 강화읍 청하동길 24,
9452,1075972,[강화 나들길 제8코스] 철새 보러 가는 길,28,2,37.7458245442,126.4822613345,인천광역시 강화군 강화읍 청하동길 24,
9456,136605,강화유스호스텔,32,2,37.7045385779,126.3745584698,인천광역시 강화군 내가면 해안서로 972,
9460,3049916,골드코스트호텔 인천,32,2,37.402493486,126.7079891583,인천광역시 남동구 논현로26번길 46 (논현동),
9461,2782945,골든튤립인천에어포트호텔,32,2,37.4923125872,126.4924230049,인천광역시 중구 흰바위로59번길 8,(운서동)
9463,143090,그랜드 하얏트 인천,32,2,37.4404402287,126.4574442965,인천광역시 중구 영종해안남로321번길 208,
9465,2708337,글로스터호텔 인천 [한국관광 품질인증/Korea Quality],32,2,37.4003414436,126.7354589383,인천광역시 남동구 소래역로 36,
9466,2706769,남문한옥 대명헌 [한국관광 품질인증/Korea Quality],32,2,37.7448386068,126.4856055,인천광역시 강화군 강화읍 남문안길 7,
9467,2622374,네이쳐펜션(자연의집),32,2,37.2811479685,126.4774662809,인천광역시 옹진군 영흥면 영흥북로426번길 105-1,
9468,554419,노을&바다 펜션,32,2,37.2792950491,126.4569820867,인천광역시 옹진군 영흥면 영흥서로 465-22,
9471,2594928,데이즈호텔 앤 스위트 인천에어포트[한국관광 품질인증/Korea Quality],32,2,37.4934818752,126.4912730778,인천광역시 중구 신도시남로142번길 6,(운서동)
9472,2622996,델로스호스텔,32,2,37.4507264363,126.3723740064,인천광역시 중구 용유서로 365,(을왕동)
9474,2593672,"라르고빌리조트(웨이브하우스, 가든하우스) [한국관광 품질인증/Korea Quality]",32,2,37.6409018417,126.3909948401,인천광역시 강화군 해안남로2845번길 27 라르고빌리조트,
9478,1747890,로지호텔,32,2,37.4612528866,126.6830120251,인천광역시 미추홀구 주안중로 32,
9482,138909,명성리조텔,32,2,37.2728652226,126.4560073504,인천광역시 옹진군 영흥면 영흥로722번길 39,
9484,397933,바다정원펜션,32,2,37.2451002815,126.5295069699,인천광역시 옹진군 영흥면 선재로170번안길 42-22,
9486,1937524,베니키아 월미도 더블리스 호텔,32,2,37.4726889345,126.5973223024,인천광역시 중구 월미로 266,(북성동1가)
9487,143106,베스트웨스턴 프리미어 인천 에어포트 호텔,32,2,37.4411901422,126.4574859381,인천광역시 중구 공항로424번길 48-27,
9489,1882357,별자리 호스텔,32,2,37.44189148,126.3796735824,인천광역시 중구 선녀바위로55번길 18,
9490,1893109,별장아원,32,2,37.7189069247,126.4075106056,인천광역시 강화군 내가면 고비고개로743번길 47-7,
9491,1748010,보보스모텔,32,2,37.4216539314,126.6389338101,인천광역시 연수구 능허대로104번길 59,
9492,3049358,브라운도트 호텔 검단사거리점,32,2,37.6006779222,126.6595102813,인천광역시 서구 완정로117번길 31 (왕길동),
9495,2622776,센트레빌 게스트하우스,32,2,37.5681833279,126.7511083815,인천광역시 계양구 형제봉길 100,"(귤현동,계양센트레빌 1단지)계양센트레빌11동203호"
9496,3076761,소래호텔카카오,32,2,37.4007330808,126.7363644005,인천광역시 남동구 앵고개로948번길 48 (논현동),
9498,2702315,스위스파크 호스텔,32,2,37.4493043832,126.3725712499,인천광역시 중구 을왕로58번길 8,(을왕동)
9500,2783477,스카이탑호텔,32,2,37.4913683997,126.5008361513,인천광역시 중구 영종대로196번길 15-7,(운서동)
9501,2950191,시우재[한국관광 품질인증/Korea Quality],32,2,37.4149635864,126.6698034034,인천광역시 연수구 동곡재로 74-33,
9503,987145,씨월드관광호텔,32,2,37.464310909,126.3690322729,인천광역시 중구 용유서로479번길 50-7,
9509,2575774,영흥도관광펜션,32,2,37.2594424747,126.4958457545,인천광역시 옹진군 영흥면 영흥로156번길 33-17,
9511,2468936,옛날에금잔디[한국관광 품질인증/Korea Quality],32,2,37.7161235947,126.3892095829,인천광역시 강화군 내가면 강화서로225번길 18-1,
9512,788974,오라카이 송도파크호텔,32,2,37.3882384021,126.6408762251,인천광역시 연수구 테크노파크로 151,
9518,2570709,오후엔[한국관광 품질인증/Korea Quality],32,2,37.5367193201,126.3788154991,인천광역시 옹진군 장봉로26번길 76-28,
